Date,Log,Change,Close,Volume,Open,High,Low,Silver,SP500,DXY,US1Y,VIX,Oil,DFII10,T10YIE,USEPUINDXD,GPRD,GPRD_ACT,GPRD_THREAT
4/20/2020,0.012939835,1.3,1711.2,183636,1693,1718.4,1685,15.75,2823.16,99.95,0.15,43.83000183,17.36,-0.31,0.94,618.66,25.88,0,43.04
4/21/2020,-0.013768973,-1.37,1687.8,240743,1713.3,1718,1666.2,14.991,2736.56,100.26,0.17,45.40999985,9.12,-0.38,0.96,599.13,54.08,35.94,59.96
4/22/2020,0.029481718,2.99,1738.3,187864,1703.1,1742.4,1695.4,15.503,2799.31,100.39,0.16,41.97999954,13.77,-0.43,1.06,511.42,137.26,136.84,114.14
4/23/2020,0.004076132,0.41,1745.4,194495,1736.5,1764.2,1730.6,15.526,2797.8,100.43,0.17,41.38000107,15.06,-0.44,1.05,505.54,100.94,82.33,114.45
4/24/2020,-0.012626649,-1.25,1723.5,221,1744,1744,1714.5,15.254,2836.74,100.38,0.18,35.93000031,15.87,-0.51,1.11,562.5,45.83,8.31,76.23
4/27/2020,0.000174049,0.02,1723.8,142721,1745,1745.8,1720,15.341,2878.48,100.04,0.17,33.29000092,15.17,-0.5,1.17,642.66,49,19.54,65.2
4/28/2020,-0.000928613,-0.09,1722.2,166606,1724.4,1731.9,1704.1,15.328,2863.39,99.86,0.16,33.56999969,15.6,-0.52,1.14,479.89,95.69,127.19,75.78
4/29/2020,-0.01097629,-1.09,1703.4,373,1710,1713.5,1702,15.16,2939.51,99.56,0.18,31.22999954,17.86,-0.51,1.14,439.11,79.46,99.02,66.08
4/30/2020,-0.005415601,-0.54,1694.2,228730,1729.6,1737,1687.5,14.973,2912.43,99.02,0.16,34.15000153,18.11,-0.43,1.07,440.07,56.95,56.77,55.25
5/1/2020,0.000177059,0.02,1694.5,337,1686.6,1701.5,1670.5,14.863,2830.71,99.08,0.17,37.18999863,18.49,-0.42,1.06,516.72,60.41,60.23,50.23
5/4/2020,0.011033623,1.11,1713.3,146307,1711.2,1726,1700.3,14.796,2842.74,99.48,0.16,35.97000122,20.4,-0.43,1.07,449.38,59.6,29.71,74.33
5/5/2020,-0.001577149,-0.16,1710.6,179577,1711,1717.8,1695.4,15.11,2868.44,99.71,0.16,33.61000061,25.46,-0.44,1.1,807.66,41.64,36.9,38.47
5/6/2020,-0.013003625,-1.29,1688.5,196313,1714.1,1716.6,1683,15.015,2848.42,100.09,0.16,34.11999893,24.2,-0.38,1.1,498.71,80.79,113.71,47.42
5/7/2020,0.02185015,2.21,1725.8,233381,1686,1733.2,1683.9,15.59,2881.19,99.89,0.15,31.44000053,24.23,-0.45,1.08,504.24,56.15,27.99,70.03
5/8/2020,-0.009255822,-0.92,1709.9,330,1726.2,1728.9,1703.8,15.74,2929.8,99.73,0.15,27.97999954,24.23,-0.43,1.12,488.53,70.48,93.68,54.7
5/11/2020,-0.006983801,-0.7,1698,184455,1706,1713.8,1692.1,15.68,2930.32,100.24,0.16,27.56999969,25.53,-0.4,1.13,527.36,37.91,37.8,31.53
